metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
age,26.5383,470,26.7778,27.1782,26.7905,26.5325,25.3814,90,101,105,77,97,23
aggression_aip,41.7107,477,53.0667,41.4951,37.5278,42.8077,35.2449,90,103,108,78,98,40
aggression_aip_p90,2.2004,477,2.3368,2.1402,1.9645,2.236,2.3701,90,103,108,78,98,2.663
aggression_aip_per_pass,0.696,477,0.7191,0.6984,0.7081,0.6674,0.6814,90,103,108,78,98,0.533
aggression_passes,57.9644,477,71.5444,56.9709,52.9815,60.1667,50.2755,90,103,108,78,98,75
build_final_third_share_pct,22.5426,314,22.4373,23.6858,22.4945,21.9375,21.8464,67,72,64,56,55,34.76
build_line_break_share_pct,3.7971,314,3.5842,3.9154,3.9263,3.9682,3.5773,67,72,64,56,55,5.44
build_prog_share_pct,9.0234,314,8.7572,9.1853,9.0962,9.4818,8.5845,67,72,64,56,55,8.73
chance_box_share_pct,2.0412,314,2.1822,1.885,1.9767,2.26,1.926,67,72,64,56,55,3.62
chance_impact_ft_share_pct,1.2742,314,1.2222,1.1975,1.3627,1.3389,1.2691,67,72,64,56,55,2.47
chance_key_share_pct,1.8398,314,1.7181,1.8853,1.8708,1.9354,1.7951,67,72,64,56,55,3.46
construction_aip,27.7883,477,31.1889,28.4951,27.8611,28.3205,23.4184,90,103,108,78,98,16
construction_aip_p90,1.4866,477,1.3965,1.5566,1.4226,1.4717,1.5781,90,103,108,78,98,1.065
construction_aip_per_pass,0.0406,477,0.0377,0.0425,0.0405,0.043,0.0397,90,103,108,78,98,0.036
construction_passes,671.652,477,786.5,664.5049,647.9444,678.6667,594.2347,90,103,108,78,98,446
crosses_completed,4.413,477,6.1111,4.3495,3.75,4.9872,3.1939,90,103,108,78,98,6
crosses_total,18.5996,477,24.3556,18.534,16.7778,18.9487,15.1122,90,103,108,78,98,20
def_aerial_won_p90,1.0364,472,1.0532,1.0381,1.0353,1.2549,0.8472,87,102,107,78,98,0.333
def_aerial_won_pct,47.4301,419,46.7351,49.4804,45.8691,46.8922,48.2578,84,92,97,73,73,38.46
def_block_p90,0.29,472,0.3447,0.2958,0.276,0.2843,0.2553,87,102,107,78,98,0.067
def_clearance_p90,1.5044,472,1.6132,1.4571,1.4464,1.7881,1.2946,87,102,107,78,98,0.865
def_err_goal_p90,0.014,472,0.0158,0.0157,0.014,0.0073,0.0162,87,102,107,78,98,0.067
def_err_shot_p90,0.0678,472,0.0758,0.0628,0.0598,0.0583,0.0825,87,102,107,78,98,0.0
def_interception_p90,0.94,472,1.0314,0.8801,0.8564,1.0004,0.9643,87,102,107,78,98,0.133
def_minutes,1627.6716,472,1911.7586,1647.8235,1642.4019,1685.4359,1292.4388,87,102,107,78,98,1352.0
def_recovery_p90,4.6561,472,4.7153,4.665,4.476,4.5068,4.9097,87,102,107,78,98,3.861
def_tackle_won_pct,57.7802,430,58.2538,57.1518,57.2398,57.3709,59.0301,82,97,98,70,83,57.14
def_won_tackle_p90,1.1418,472,1.2605,1.115,1.0773,1.0409,1.2148,87,102,107,78,98,0.799
defense_display,5.9442,472,5.9872,5.9613,5.9287,5.9438,5.9053,87,102,107,78,98,3.06
defense_idx,-0.0036,472,0.0011,0.0114,-0.0203,0.0049,-0.0119,87,102,107,78,98,-1.0576464058474797
defense_index,-0.0036,472,0.0011,0.0114,-0.0203,0.0049,-0.0119,87,102,107,78,98,-1.0576464058474797
dist_long_impact,26.2935,477,32.3889,27.068,23.2685,26.3846,23.1429,90,103,108,78,98,14
dist_long_impact_p90,1.3801,477,1.4325,1.4014,1.2177,1.3441,1.517,90,103,108,78,98,0.932
dist_medium_impact,13.5472,477,15.6333,13.4078,13.3148,14.141,11.5612,90,103,108,78,98,16
dist_medium_impact_p90,0.7315,477,0.7013,0.7376,0.6708,0.7619,0.7958,90,103,108,78,98,1.065
dist_short_impact,15.4444,477,17.8667,15.8058,15.9352,15.3205,12.398,90,103,108,78,98,18
dist_short_impact_p90,0.8324,477,0.8027,0.8476,0.8218,0.8165,0.8679,90,103,108,78,98,1.198
dxt_gt_01_pct,4.8417,477,4.8722,5.0359,4.5815,4.7449,4.9735,90,103,108,78,98,4.4
dxt_p90,0.6332,477,0.6263,0.6994,0.6194,0.581,0.6266,90,103,108,78,98,0.203
eff_long_stratum_delta_pp,0.0004,313,0.2199,0.4118,-0.9294,0.4598,-0.2084,67,72,63,56,55,-0.69
eff_short_stratum_delta_pp,0.002,314,0.3219,0.4499,0.1073,-0.7668,-0.3138,67,72,64,56,55,3.08
eligible_for_rating,0.6918,477,0.7889,0.7282,0.6296,0.7308,0.602,90,103,108,78,98,True
eligible_minutes,0.7526,477,0.8111,0.7573,0.7315,0.8205,0.6633,90,103,108,78,98,True
eligible_passes,0.7484,477,0.8556,0.7961,0.6852,0.7564,0.6633,90,103,108,78,98,True
final_third_passes,10.887,477,10.9277,11.4843,10.1502,10.7257,11.1623,90,103,108,78,98,14.046
final_third_passes_p90,10.6528,477,10.9277,11.0756,9.6641,10.5792,11.1041,90,103,108,78,98,14.046
high_impact_accuracy_pct,96.8553,477,100.0,96.1165,94.4444,96.1538,97.9592,90,103,108,78,98,100.0
high_impact_attempted,14.2138,477,18.3667,13.7087,12.8704,15.2821,11.5612,90,103,108,78,98,8
high_impact_passes,14.2138,477,18.3667,13.7087,12.8704,15.2821,11.5612,90,103,108,78,98,8
