Player,Team,League,Cur_Abs,New_Abs_6avg,Delta_Abs,Cur_Rel,New_Rel_6avg,Delta_Rel,Cur_Overall_2avg,New_Overall_6avg,Abs_Prod,Abs_Prec,Abs_Vol,Abs_Eff,Abs_Build,Abs_Chance,Rel_Prod,Rel_Prec,Rel_Vol,Rel_Eff,Rel_Build,Rel_Chance
Marten de Roon,Atalanta,Serie A,7.62,7.54,-0.08,7.08,7.06,-0.02,7.35,7.3,7.93,7.32,7.96,7.08,7.96,7.0,7.22,6.91,7.5,6.49,7.53,6.71
Lucas Gourna-Douath,Le Havre,Ligue 1,7.0,6.96,-0.04,7.29,7.14,-0.15,7.14,7.05,7.04,6.97,7.16,7.19,6.9,6.48,7.45,7.04,7.96,7.2,6.72,6.5
André,Wolverhampton,Premier League,7.65,7.17,-0.48,7.67,7.23,-0.44,7.66,7.2,7.03,8.27,6.96,7.85,6.65,6.26,6.83,8.5,7.91,7.83,6.15,6.18
Máximo Perrone,Como,Serie A,7.83,7.63,-0.2,7.27,6.96,-0.31,7.55,7.29,8.01,7.66,7.69,7.75,7.41,7.26,7.33,7.11,7.28,7.19,6.23,6.61
Adam Wharton,Crystal Palace,Premier League,6.71,7.19,0.48,7.13,7.36,0.23,6.92,7.28,7.1,6.32,7.35,6.83,7.71,7.83,8.1,6.03,7.44,6.73,7.89,7.94
Ísak Bergmann Jóhannesson,1. FC Köln,Bundesliga,6.96,7.02,0.06,7.57,7.33,-0.24,7.27,7.17,6.76,7.16,6.94,6.96,6.98,7.32,8.0,6.81,6.98,7.02,7.59,7.58
Hugo Sotelo,Celta Vigo,La Liga,7.95,7.66,-0.29,8.2,7.44,-0.76,8.07,7.55,7.92,7.98,7.5,7.99,7.82,6.72,8.35,7.76,7.41,7.52,7.69,5.89
Bilal El Khannouss,VfB Stuttgart,Bundesliga,6.92,7.14,0.22,6.61,6.98,0.37,6.77,7.06,7.29,6.55,7.11,6.35,7.46,8.11,7.13,6.08,6.58,6.28,7.76,8.05
Valentín Barco,RC Strasbourg,Ligue 1,7.6,7.78,0.18,6.14,6.91,0.77,6.87,7.35,7.6,7.6,8.04,7.61,7.84,7.97,5.09,7.01,7.67,7.06,7.11,7.54
Hakon Arnar Haraldsson,Lille,Ligue 1,6.94,7.11,0.17,7.0,7.06,0.06,6.97,7.08,7.07,6.8,6.85,7.0,7.24,7.67,7.26,6.63,6.67,6.96,7.26,7.6
Mateus Fernandes,West Ham United,Premier League,7.46,7.49,0.03,7.42,7.57,0.15,7.44,7.53,7.19,7.72,7.48,7.82,7.32,7.43,6.8,7.87,8.59,7.91,6.97,7.27
